sender_user_id,receiver_account,receiver_account_timestamp,receiver_quote,receiver_quote_timestamp,receiver_policy,receiver_policy_timestamp,sender_earned_amount_in_dollars,receiver_earned_amount_in_dollars
3a1736da-ba37-4801-8d1e-2243ebfa78c3,1,5/6/2018,0,,0,,,
e19587e5-49f6-4bae-b5b1-7a2a4676e96b,1,3/4/2018,0,,0,,,
89532f35-c603-4e96-b3c6-f9c739d9ef4c,1,2/11/2018,0,,0,,,
50f8253b-861c-4314-8e48-b6f64d1ee0d9,1,4/29/2018,0,,0,,,
e4ee3c07-68c7-44ab-97d5-73705fa45385,1,2/11/2018,0,,0,,,
615bc526-c906-4a43-b27c-c68f32e2bd98,1,4/4/2018,1,4/24/2018,1,4/24/2018,25,25
5218a305-69b0-4fcc-a3cf-b6f3d28aa161,1,4/7/2018,0,,0,,,
87611919-e1a2-4e27-a74e-3e789565ff6c,1,5/6/2018,0,,0,,,
5c3a3470-53ea-4ff4-b166-b80816130bff,1,3/7/2018,0,,0,,,
e7005a27-3d26-45a7-bbce-d7dcb085a40e,1,3/31/2018,1,4/24/2018,1,5/2/2018,50,50
2344d19b-fdf3-4866-876e-ed6dd2631d83,1,4/22/2018,0,,0,,,
89532f35-c603-4e96-b3c6-f9c739d9ef4c,1,2/13/2018,0,,0,,,
